series_key,distance_m,year,course_id,net_gain_m,total_gain_m,uncertainty_total_m,uncertainty_net_m,n_files,status,remark
HK_marathon,42195,2018,,,,,,0,no_data,no usable marathon track for this series/course (gather)
HK_marathon,42195,2019,,,,,,0,no_data,no usable marathon track for this series/course (gather)
HK_marathon,42195,2021,,,,,,0,no_data,no usable marathon track for this series/course (gather)
HK_marathon,42195,2023,,,,,,0,no_data,no usable marathon track for this series/course (gather)
HK_marathon,42195,2024,,,,,,0,no_data,no usable marathon track for this series/course (gather)
HK_marathon,42195,2025,,,,,,0,no_data,no usable marathon track for this series/course (gather)
abingdon_marathon,42195,2022,1,-0.2,84.4,14.8,10.4,7,measured,
abingdon_marathon,42195,2023,1,-0.2,84.4,14.8,10.4,7,measured,
abingdon_marathon,42195,2024,1,-0.2,84.4,14.8,10.4,7,measured,
abingdon_marathon,42195,2025,1,-0.2,84.4,14.8,10.4,7,measured,
amsterdam_marathon,42195,2016,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2017,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2018,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2019,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2021,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2022,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2023,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2024,1,0.9,41.3,5.1,0.3,9,measured,
amsterdam_marathon,42195,2025,1,0.9,41.3,5.1,0.3,9,measured,
athens_marathon,42195,2024,1,56.4,318.5,9.3,2.5,2,measured,
athens_marathon,42195,2025,1,56.4,318.5,9.3,2.5,2,measured,
barcelona_marathon,42195,2019,1,0.6,135.7,7.7,3.8,3,measured,
barcelona_marathon,42195,2021,1,0.6,135.7,7.7,3.8,3,measured,
barcelona_marathon,42195,2022,1,0.6,135.7,7.7,3.8,3,measured,
barcelona_marathon,42195,2023,1,0.6,135.7,7.7,3.8,3,measured,
barcelona_marathon,42195,2024,2,-16.9,121.9,25.0,19.3,4,measured,
barcelona_marathon,42195,2025,2,-16.9,121.9,25.0,19.3,4,measured,
belfast_marathon,42195,2014,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2015,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2016,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2017,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2018,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2019,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2021,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2022,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2023,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2024,1,-27.3,146.5,,,1,filled_from_course,no track this year; value from course 1 (other years)
belfast_marathon,42195,2025,1,-27.3,146.5,,,1,measured,
berlin_marathon,42195,2014,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2015,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2016,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2017,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2018,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2019,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2021,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2022,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2023,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2024,1,0.9,50.6,4.8,,3,measured,
berlin_marathon,42195,2025,1,0.9,50.6,4.8,,3,measured,
bostonUK_marathon,42195,2021,1,-2.7,12.8,,,1,measured,
bostonUK_marathon,42195,2022,1,-2.7,12.8,,,1,measured,
bostonUK_marathon,42195,2023,1,-2.7,12.8,,,1,measured,
bostonUK_marathon,42195,2024,1,-2.7,12.8,,,1,measured,
bostonUK_marathon,42195,2025,1,-2.7,12.8,,,1,measured,
boston_marathon,42195,2014,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2015,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2016,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2017,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2018,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2019,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2021,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2022,1,-131.4,198.7,0.8,6.7,3,filled_from_course,no track this year; value from course 1 (other years)
boston_marathon,42195,2023,1,-131.4,198.7,0.8,6.7,3,measured,
boston_marathon,42195,2024,1,-131.4,198.7,0.8,6.7,3,measured,
boston_marathon,42195,2025,1,-131.4,198.7,0.8,6.7,3,measured,
brighton_marathon,42195,2022,1,-19.0,140.1,11.2,3.4,6,measured,
brighton_marathon,42195,2023,1,-19.0,140.1,11.2,3.4,6,measured,
brighton_marathon,42195,2024,1,-19.0,140.1,11.2,3.4,6,measured,
brighton_marathon,42195,2025,1,-19.0,140.1,11.2,3.4,6,measured,
cape_town_marathon,42195,2022,1,-0.2,193.7,22.4,2.9,5,measured,
cape_town_marathon,42195,2023,1,-0.2,193.7,22.4,2.9,5,measured,
cape_town_marathon,42195,2024,1,-0.2,193.7,22.4,2.9,5,measured,
chester_marathon,42195,2016,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2017,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2018,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2019,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2021,1,3.5,182.5,8.7,0.5,8,filled_from_course,no track this year; value from course 1 (other years)
chester_marathon,42195,2022,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2023,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2024,1,3.5,182.5,8.7,0.5,8,measured,
chester_marathon,42195,2025,1,3.5,182.5,8.7,0.5,8,measured,
chicago_marathon,42195,2014,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2015,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2016,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2017,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2018,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2019,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2021,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2022,1,2.3,36.0,1.3,0.3,3,filled_from_course,no track this year; value from course 1 (other years)
chicago_marathon,42195,2023,1,2.3,36.0,1.3,0.3,3,measured,
chicago_marathon,42195,2024,1,2.3,36.0,1.3,0.3,3,measured,
chicago_marathon,42195,2025,1,2.3,36.0,1.3,0.3,3,measured,
cologne_marathon,42195,2018,1,10.3,72.2,6.7,1.4,6,measured,
cologne_marathon,42195,2019,1,10.3,72.2,6.7,1.4,6,measured,
cologne_marathon,42195,2022,1,10.3,72.2,6.7,1.4,6,measured,
cologne_marathon,42195,2023,1,10.3,72.2,6.7,1.4,6,measured,
cologne_marathon,42195,2024,1,10.3,72.2,6.7,1.4,6,measured,
cologne_marathon,42195,2025,1,10.3,72.2,6.7,1.4,6,measured,
copenhagen_marathon,42195,2014,1,3.0,74.1,16.4,1.0,9,measured,
copenhagen_marathon,42195,2015,1,3.0,74.1,16.4,1.0,9,filled_from_course,no track this year; value from course 1 (other years)
copenhagen_marathon,42195,2016,1,3.0,74.1,16.4,1.0,9,filled_from_course,no track this year; value from course 1 (other years)
copenhagen_marathon,42195,2017,1,3.0,74.1,16.4,1.0,9,measured,
copenhagen_marathon,42195,2018,1,3.0,74.1,16.4,1.0,9,filled_from_course,no track this year; value from course 1 (other years)
copenhagen_marathon,42195,2019,1,3.0,74.1,16.4,1.0,9,measured,
copenhagen_marathon,42195,2022,1,3.0,74.1,16.4,1.0,9,measured,
copenhagen_marathon,42195,2023,1,3.0,74.1,16.4,1.0,9,measured,
copenhagen_marathon,42195,2024,1,3.0,74.1,16.4,1.0,9,measured,
copenhagen_marathon,42195,2025,1,3.0,74.1,16.4,1.0,9,measured,
daegu_marathon,42195,2025,,,,,,0,no_data,no usable marathon track for this series/course (gather)
dublin_marathon,42195,2014,1,-5.2,182.6,13.6,3.4,6,filled_from_course,no track this year; value from course 1 (other years)
dublin_marathon,42195,2015,1,-5.2,182.6,13.6,3.4,6,measured,
dublin_marathon,42195,2016,1,-5.2,182.6,13.6,3.4,6,filled_from_course,no track this year; value from course 1 (other years)
dublin_marathon,42195,2017,1,-5.2,182.6,13.6,3.4,6,filled_from_course,no track this year; value from course 1 (other years)
dublin_marathon,42195,2018,1,-5.2,182.6,13.6,3.4,6,measured,
dublin_marathon,42195,2019,1,-5.2,182.6,13.6,3.4,6,measured,
dublin_marathon,42195,2022,1,-5.2,182.6,13.6,3.4,6,measured,
dublin_marathon,42195,2023,1,-5.2,182.6,13.6,3.4,6,measured,
dublin_marathon,42195,2024,1,-5.2,182.6,13.6,3.4,6,measured,
dublin_marathon,42195,2025,1,-5.2,182.6,13.6,3.4,6,measured,
edinburgh_marathon,42195,2014,1,-79.4,73.4,6.1,17.5,3,filled_from_course,no track this year; value from course 1 (other years)
edinburgh_marathon,42195,2015,1,-79.4,73.4,6.1,17.5,3,filled_from_course,no track this year; value from course 1 (other years)
edinburgh_marathon,42195,2016,1,-79.4,73.4,6.1,17.5,3,measured,
edinburgh_marathon,42195,2017,1,-79.4,73.4,6.1,17.5,3,filled_from_course,no track this year; value from course 1 (other years)
edinburgh_marathon,42195,2018,1,-79.4,73.4,6.1,17.5,3,measured,
edinburgh_marathon,42195,2019,1,-79.4,73.4,6.1,17.5,3,filled_from_course,no track this year; value from course 1 (other years)
edinburgh_marathon,42195,2022,1,-79.4,73.4,6.1,17.5,3,filled_from_course,no track this year; value from course 1 (other years)
edinburgh_marathon,42195,2023,1,-79.4,73.4,6.1,17.5,3,measured,
edinburgh_marathon,42195,2024,1,-79.4,73.4,6.1,17.5,3,measured,
edinburgh_marathon,42195,2025,1,-79.4,73.4,6.1,17.5,3,filled_from_course,no track this year; value from course 1 (other years)
eindhoven_marathon,42195,2017,1,-1.9,30.9,6.6,7.0,5,filled_from_course,no track this year; value from course 1 (other years)
eindhoven_marathon,42195,2018,1,-1.9,30.9,6.6,7.0,5,filled_from_course,no track this year; value from course 1 (other years)
eindhoven_marathon,42195,2019,1,-1.9,30.9,6.6,7.0,5,measured,
eindhoven_marathon,42195,2021,1,-1.9,30.9,6.6,7.0,5,measured,
eindhoven_marathon,42195,2022,1,-1.9,30.9,6.6,7.0,5,measured,
eindhoven_marathon,42195,2023,1,-1.9,30.9,6.6,7.0,5,measured,
eindhoven_marathon,42195,2024,1,-1.9,30.9,6.6,7.0,5,measured,
eindhoven_marathon,42195,2025,1,-1.9,30.9,6.6,7.0,5,measured,
florence_marathon,42195,2024,1,1.1,66.0,14.1,,3,measured,
florence_marathon,42195,2025,1,1.1,66.0,14.1,,3,measured,
frankfurt_marathon,42195,2015,1,-1.0,77.9,13.4,5.1,3,filled_from_course,no track this year; value from course 1 (other years)
frankfurt_marathon,42195,2016,1,-1.0,77.9,13.4,5.1,3,filled_from_course,no track this year; value from course 1 (other years)
frankfurt_marathon,42195,2017,1,-1.0,77.9,13.4,5.1,3,measured,
frankfurt_marathon,42195,2018,1,-1.0,77.9,13.4,5.1,3,filled_from_course,no track this year; value from course 1 (other years)
frankfurt_marathon,42195,2019,1,-1.0,77.9,13.4,5.1,3,measured,
frankfurt_marathon,42195,2022,1,-1.0,77.9,13.4,5.1,3,filled_from_course,no track this year; value from course 1 (other years)
frankfurt_marathon,42195,2023,1,-1.0,77.9,13.4,5.1,3,filled_from_course,no track this year; value from course 1 (other years)
frankfurt_marathon,42195,2024,1,-1.0,77.9,13.4,5.1,3,measured,
frankfurt_marathon,42195,2025,1,-1.0,77.9,13.4,5.1,3,measured,
fukuoka_marathon,42195,2014,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2015,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2016,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2017,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2018,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2019,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2022,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2023,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2024,,,,,,0,no_data,no usable marathon track for this series/course (gather)
fukuoka_marathon,42195,2025,,,,,,0,no_data,no usable marathon track for this series/course (gather)
goldcoast_marathon,42195,2025,2,-4.5,45.5,5.9,4.5,2,measured,
hamburg_marathon,42195,2018,1,0.0,117.1,0.7,0.1,2,measured,
hamburg_marathon,42195,2019,1,0.0,117.1,0.7,0.1,2,measured,
hamburg_marathon,42195,2021,1,0.0,117.1,0.7,0.1,2,measured,
hamburg_marathon,42195,2022,1,0.0,117.1,0.7,0.1,2,measured,
hamburg_marathon,42195,2023,1,0.0,117.1,0.7,0.1,2,measured,
hamburg_marathon,42195,2024,1,0.0,117.1,0.7,0.1,2,measured,
hamburg_marathon,42195,2025,1,0.0,117.1,0.7,0.1,2,measured,
hannover_marathon,42195,2018,1,1.5,27.4,0.2,0.6,2,filled_carryforward,"no track this year; course inferred, value from course 1 (nearest yr 2019)"
hannover_marathon,42195,2019,1,1.5,27.4,0.2,0.6,2,measured,
hannover_marathon,42195,2022,1,1.5,27.4,0.2,0.6,2,measured,
hannover_marathon,42195,2023,2,2.0,28.4,,,1,measured,
hannover_marathon,42195,2024,2,2.0,28.4,,,1,measured,
hannover_marathon,42195,2025,2,2.0,28.4,,,1,measured,
itabashi_marathon,42195,2014,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2015,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2016,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2017,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2018,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2019,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2023,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2024,,,,,,0,no_data,no usable marathon track for this series/course (gather)
itabashi_marathon,42195,2025,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2015,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2016,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2017,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2018,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2019,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2022,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2023,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2024,,,,,,0,no_data,no usable marathon track for this series/course (gather)
kobe_marathon,42195,2025,,,,,,0,no_data,no usable marathon track for this series/course (gather)
lisbon_marathon,42195,2021,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2022,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2023,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2024,1,-5.4,147.3,,,1,filled_from_course,no track this year; value from course 1 (other years)
lisbon_marathon,42195,2025,1,-5.4,147.3,,,1,measured,
london_marathon,42195,2014,1,-33.9,83.1,5.4,4.0,8,filled_from_course,no track this year; value from course 1 (other years)
