slice,rank,series_key,country,k_editions,yr_min,yr_max,tier,n_men,n_women,n_total,point_median_v,boot_p50,boot_median_min3h,boot_min,boot_p025,boot_p25,boot_p75,boot_p975,boot_max,boot_whislo,boot_whishi,sex_v_men,sex_v_women,sex_contrast_r,sex_contrast_min3h,sex_flag
ALL_B_14-25_mrc2,1,newport_marathon,GBR,6,2018,2025,1,2281,904,3185,-0.017294,-0.017338,-3.120769,-0.021985,-0.020806,-0.018575,-0.016078,-0.012994,-0.011998,-0.021985,-0.012961,-0.017951,-0.018227,-0.002824,-0.508254,False
ALL_B_14-25_mrc2,2,zurich_marathon,SUI,5,2019,2025,1,4549,973,5522,-0.016926,-0.016402,-2.952321,-0.02029,-0.019217,-0.017551,-0.015219,-0.012692,-0.011102,-0.02029,-0.012622,-0.018214,-0.01082,-0.004329,-0.779168,False
ALL_B_14-25_mrc2,3,seville_marathon,ESP,7,2018,2025,1,9897,2026,11923,-0.016054,-0.015835,-2.85028,-0.017756,-0.017113,-0.01631,-0.015358,-0.014424,-0.014285,-0.017227,-0.014285,-0.017049,-0.014205,-0.004563,-0.821424,True
ALL_B_14-25_mrc2,4,manchester_marathon,GBR,6,2019,2025,2,15483,6807,22290,-0.013767,-0.013814,-2.486532,-0.015524,-0.015197,-0.014379,-0.013195,-0.012311,-0.011991,-0.015524,-0.011991,-0.014249,-0.012456,-0.001986,-0.357439,False
ALL_B_14-25_mrc2,5,dublin_marathon,IRL,10,2014,2025,2,1703,778,2481,-0.014163,-0.013659,-2.458664,-0.018221,-0.017388,-0.014671,-0.012707,-0.010613,-0.008133,-0.017532,-0.010072,-0.013038,-0.016903,0.003277,0.589834,False
ALL_B_14-25_mrc2,6,hannover_marathon,GER,6,2018,2025,2,2220,647,2867,-0.014278,-0.013577,-2.443901,-0.0166,-0.016241,-0.014743,-0.012651,-0.01115,-0.01002,-0.0166,-0.01002,-0.016433,-0.007333,-0.007622,-1.371987,True
ALL_B_14-25_mrc2,7,eindhoven_marathon,NED,8,2017,2025,2,5373,1067,6440,-0.013881,-0.013106,-2.359124,-0.01822,-0.016706,-0.014512,-0.012073,-0.010344,-0.008877,-0.016796,-0.008877,-0.014366,-0.01133,-0.002472,-0.444984,False
ALL_B_14-25_mrc2,8,frankfurt_marathon,GER,9,2015,2025,2,22406,6306,28712,-0.012821,-0.01284,-2.311193,-0.014564,-0.014364,-0.013325,-0.012176,-0.011125,-0.010625,-0.014564,-0.010625,-0.014156,-0.012567,-0.002214,-0.398557,False
ALL_B_14-25_mrc2,9,bostonUK_marathon,GBR,5,2021,2025,2,1099,430,1529,-0.011361,-0.012026,-2.164764,-0.016366,-0.015332,-0.013329,-0.010768,-0.008005,-0.006639,-0.016366,-0.007754,-0.010145,-0.008398,-0.002052,-0.369415,False
ALL_B_14-25_mrc2,10,barcelona_marathon,ESP,5,2021,2025,2,5967,1397,7364,-0.012295,-0.011919,-2.14537,-0.015853,-0.014833,-0.012693,-0.010915,-0.009614,-0.007853,-0.015026,-0.008971,-0.012541,-0.011833,-0.000708,-0.12744,False
ALL_B_14-25_mrc2,11,valencia_marathon,ESP,9,2017,2025,3,53729,8419,62148,-0.011809,-0.011495,-2.069119,-0.01294,-0.012671,-0.012035,-0.010859,-0.009855,-0.00916,-0.01294,-0.00916,-0.013079,-0.009326,-0.004306,-0.775023,True
ALL_B_14-25_mrc2,12,amsterdam_marathon,NED,9,2016,2025,3,22399,5794,28193,-0.010795,-0.011131,-2.003548,-0.012984,-0.012868,-0.011718,-0.010541,-0.009476,-0.009101,-0.012984,-0.009101,-0.01072,-0.012098,0.001378,0.248022,False
ALL_B_14-25_mrc2,13,paris_marathon,FRA,11,2014,2025,3,94419,21566,115985,-0.011284,-0.011028,-1.984996,-0.014254,-0.013303,-0.011798,-0.0103,-0.006637,-0.004163,-0.013309,-0.008152,-0.011877,-0.009484,-0.002458,-0.442414,False
ALL_B_14-25_mrc2,14,yorkshire_marathon,GBR,6,2019,2025,3,3354,1545,4899,-0.011369,-0.010731,-1.931656,-0.014016,-0.012947,-0.011456,-0.009828,-0.007791,-0.006341,-0.01298,-0.007583,-0.012383,-0.008403,0.001131,0.203503,False
ALL_B_14-25_mrc2,15,san_sebastian_marathon,ESP,3,2022,2025,3,1912,341,2253,-0.010559,-0.009695,-1.745121,-0.013281,-0.012172,-0.010768,-0.008653,-0.00267,6e-06,-0.013281,-0.00558,,,,,
ALL_B_14-25_mrc2,16,chester_marathon,GBR,9,2016,2025,3,5416,2467,7883,-0.010272,-0.009613,-1.7304,-0.013237,-0.012524,-0.01074,-0.008652,-0.004907,-0.003375,-0.013237,-0.006555,-0.0091,-0.011671,0.001836,0.330492,False
ALL_B_14-25_mrc2,17,malaga_marathon,ESP,7,2018,2025,3,4336,1086,5422,-0.009239,-0.009311,-1.676025,-0.017128,-0.015725,-0.011313,-0.007326,-0.004649,-0.002904,-0.017128,-0.002904,-0.006932,-0.015066,0.006143,1.105772,True
ALL_B_14-25_mrc2,18,berlin_marathon,GER,11,2014,2025,4,55134,23711,78845,-0.00922,-0.00865,-1.556997,-0.009957,-0.009889,-0.009197,-0.008267,-0.007418,-0.006795,-0.009957,-0.007059,-0.01027,-0.005174,-0.005053,-0.909546,True
ALL_B_14-25_mrc2,19,rotterdam_marathon,NED,7,2018,2025,4,34594,9301,43895,-0.008076,-0.00833,-1.499329,-0.00973,-0.009396,-0.008784,-0.007597,-0.006274,-0.005745,-0.00973,-0.006182,-0.007594,-0.010511,0.001794,0.322972,False
ALL_B_14-25_mrc2,20,hamburg_marathon,GER,7,2018,2025,5,17234,5059,22293,-0.007358,-0.007165,-1.28978,-0.009012,-0.008712,-0.007861,-0.006498,-0.005526,-0.00503,-0.009012,-0.00503,-0.008213,-0.005492,-0.001539,-0.27709,False
ALL_B_14-25_mrc2,21,abingdon_marathon,GBR,4,2022,2025,5,1144,433,1577,-0.007619,-0.006811,-1.226043,-0.010205,-0.009672,-0.007767,-0.005478,-0.003812,-0.002131,-0.010205,-0.002131,-0.00717,-0.008264,-0.001153,-0.207624,False
ALL_B_14-25_mrc2,22,cologne_marathon,GER,6,2018,2025,5,6913,1943,8856,-0.006357,-0.006304,-1.134729,-0.00879,-0.008244,-0.00722,-0.005697,-0.004143,-0.002373,-0.00879,-0.003906,-0.00452,-0.011918,0.004699,0.845756,True
ALL_B_14-25_mrc2,23,munich_marathon,GER,7,2018,2025,6,5627,1362,6989,-0.005011,-0.00462,-0.831551,-0.007938,-0.007053,-0.005435,-0.003719,-0.002079,-0.001227,-0.007938,-0.001227,-0.005422,-0.002776,-0.000567,-0.102031,False
ALL_B_14-25_mrc2,24,chicago_marathon,USA,11,2014,2025,6,79414,60924,140338,-0.004473,-0.004492,-0.808549,-0.005602,-0.005502,-0.004832,-0.004105,-0.003295,-0.002982,-0.005602,-0.003183,-0.006772,-0.002509,-0.004072,-0.732891,True
ALL_B_14-25_mrc2,25,prague_marathon,CZE,10,2014,2025,6,7665,1812,9477,-0.003354,-0.002568,-0.462266,-0.008202,-0.007083,-0.004257,-0.001368,0.002205,0.003694,-0.008202,0.002413,-0.004845,0.005068,-0.01067,-1.920529,True
ALL_B_14-25_mrc2,26,stockholm_marathon,SWE,11,2014,2025,6,31086,12425,43511,-0.002472,-0.002283,-0.410865,-0.006808,-0.006192,-0.003858,-0.00109,0.000531,0.001731,-0.006808,0.001731,-0.004607,0.003317,-0.000334,-0.060058,False
ALL_B_14-25_mrc2,27,tokyo_marathon,JPN,9,2015,2025,7,19797,11302,31099,-0.00156,-0.001461,-0.262932,-0.002999,-0.002892,-0.001988,-0.000721,0.000231,0.000557,-0.002999,0.000557,-0.000232,-0.00155,-0.001895,-0.34104,False
ALL_B_14-25_mrc2,28,london_marathon,GBR,12,2014,2025,7,69753,41918,111671,-0.001101,-0.001386,-0.249396,-0.003338,-0.003144,-0.002484,-0.000932,-0.000209,1e-06,-0.003338,1e-06,-0.002739,8.5e-05,-0.001388,-0.249782,False
ALL_B_14-25_mrc2,29,copenhagen_marathon,DEN,10,2014,2025,8,20042,6062,26104,0.001116,0.000827,0.148865,-0.00094,-0.000605,0.000198,0.001532,0.002297,0.002636,-0.00094,0.002636,0.000285,0.003042,-0.001418,-0.255168,False
ALL_B_14-25_mrc2,30,edinburgh_marathon,GBR,10,2014,2025,8,5192,2751,7943,0.002585,0.002187,0.393642,-0.00079,-0.000329,0.001293,0.003278,0.004728,0.005855,-0.00079,0.005855,0.002224,0.003265,0.001446,0.26025,False
ALL_B_14-25_mrc2,31,vienna_marathon,AUT,7,2018,2025,8,3380,846,4226,0.002052,0.002569,0.46236,-0.000888,-0.00043,0.001479,0.003655,0.006407,0.006931,-0.000888,0.006682,0.001203,0.002732,-0.001529,-0.275166,False
ALL_B_14-25_mrc2,32,cape_town_marathon,RSA,3,2022,2024,8,107,77,184,0.00152,0.004196,0.755231,-0.007861,-0.006778,-0.000344,0.006517,0.011084,0.015771,-0.007861,0.015771,0.01491,-0.004091,0.021677,3.901895,True
ALL_B_14-25_mrc2,33,oslo_marathon,NOR,8,2016,2025,9,3906,1072,4978,0.004299,0.004607,0.829334,-0.001035,0.000844,0.003183,0.005641,0.007579,0.00796,-0.000438,0.00796,0.006636,-0.000665,0.00696,1.252804,True
ALL_B_14-25_mrc2,34,belfast_marathon,GBR,10,2014,2025,9,1276,467,1743,0.005916,0.006679,1.202214,0.001161,0.002284,0.0048,0.008171,0.011197,0.013755,0.001161,0.011678,0.00969,-0.001008,0.000641,0.115337,False
ALL_B_14-25_mrc2,35,madrid_marathon,ESP,5,2021,2025,9,1569,256,1825,0.005933,0.006708,1.207432,0.002177,0.002858,0.004825,0.008031,0.010733,0.013905,0.002177,0.012211,0.005438,0.012787,-0.006177,-1.111771,False
ALL_B_14-25_mrc2,36,milan_marathon,ITA,4,2022,2025,9,9956,1862,11818,0.007055,0.006856,1.234108,0.004467,0.004927,0.00625,0.007609,0.008975,0.00949,0.004467,0.00949,0.006397,0.008194,-0.005516,-0.992925,True
ALL_B_14-25_mrc2,37,rome_marathon,ITA,5,2021,2025,10,17518,3153,20671,0.006693,0.006883,1.238993,0.004347,0.004896,0.006224,0.007653,0.00901,0.00941,0.004347,0.00941,0.005022,0.009566,-0.005192,-0.934602,True
ALL_B_14-25_mrc2,38,melbourne_marathon,AUS,11,2014,2025,10,15536,5422,20958,0.008473,0.007921,1.425721,-0.001659,0.0043,0.006609,0.009057,0.012302,0.015897,0.00406,0.012334,0.015928,-0.000312,0.008952,1.611301,True
ALL_B_14-25_mrc2,39,boston_marathon,USA,11,2014,2025,10,21767,13725,35492,0.007372,0.008264,1.487514,0.005623,0.006214,0.007673,0.008788,0.00984,0.010385,0.006008,0.010385,0.009718,0.004848,0.007282,1.310687,True
ALL_B_14-25_mrc2,40,brighton_marathon,GBR,4,2022,2025,11,4709,2286,6995,0.010289,0.010086,1.815434,0.006487,0.007639,0.00934,0.011222,0.012602,0.012878,0.007615,0.012878,0.010379,0.010413,-0.000666,-0.119949,False
ALL_B_14-25_mrc2,41,nyc_marathon,USA,11,2014,2025,12,144220,99952,244172,0.014342,0.014883,2.678975,0.01379,0.013926,0.014543,0.015296,0.015851,0.015951,0.01379,0.015951,0.017507,0.013891,0.002341,0.421469,False
ALL_B_14-25_mrc2,42,milton_keynes_marathon,GBR,11,2014,2025,12,3613,1381,4994,0.016754,0.01497,2.694627,0.009855,0.011096,0.013687,0.016885,0.018643,0.020022,0.009855,0.020022,0.015159,0.012579,0.004428,0.796955,False
ALL_B_14-25_mrc2,43,lisbon_marathon,POR,5,2021,2025,12,203,75,278,0.017006,0.017514,3.152468,0.006019,0.0089,0.014424,0.021606,0.028189,0.029821,0.006019,0.029821,,,,,
ALL_B_14-25_mrc2,44,sydney_marathon,AUS,4,2022,2025,13,11650,5521,17171,0.017902,0.017939,3.228996,0.013683,0.014462,0.016932,0.018957,0.020743,0.022261,0.013995,0.021282,0.019601,0.016377,0.001586,0.285443,False
ALL_B_14-25_mrc2,45,HK_marathon,HKG,4,2018,2025,13,66,44,110,0.018045,0.018937,3.408672,0.011579,0.014681,0.016791,0.02094,0.02472,0.025923,0.011579,0.025923,,,,,
ALL_B_14-25_mrc2,46,venice_marathon,ITA,3,2023,2025,14,4450,1122,5572,0.026324,0.025891,4.660341,0.022196,0.023327,0.024731,0.026776,0.028726,0.030274,0.022196,0.029454,0.02705,0.023445,-0.000209,-0.037571,False
