slug,mrc,nu,corr_aging_drift,var_aging,var_drift,cov,sd_ratio_d_over_aging,omega_d2_drift,omega_d2_full,n_eligible,d_sd_drift,d_sd_full,frac_improver_drift,frac_improver_full,corr_d_drift_full,max_abs_dd,curve_corr,curve_max_abs_delta,peak_age_aging,peak_age_full,gamma_max_abs_delta,gamma_corr
Po10_W_14-25_mrc2,2,8.0,-0.07676183661905517,0.0006219909967591928,0.0007190204297818192,-5.1335173821111715e-05,1.0751735353175373,0.0003273068764900612,0.00027776005432673516,9127,0.015082010133150735,0.013684501644981226,0.5423468828749863,0.5577955516599101,0.9353679127691407,0.034085504795059084,0.9959443520827435,0.030443851537424602,2.4633227740344434,2.3460216895566126,0.00022092690879504744,0.9985805223694929
Po10_W_14-25_mrc5,5,8.0,-0.05428747639563295,0.0012380447550269878,0.0008774719245361386,-5.658503593031406e-05,0.8418766079699865,0.0002789291547084076,0.0001896721013402526,3457,0.015160188619822204,0.01211817526196826,0.4911773213769164,0.5018802429852474,0.8735689632067274,0.027594660612828937,0.9990411525406521,0.013563675789412193,2.580623858512274,2.6979249429901047,3.186472157123597e-05,0.9998544017665735
Po10_M_14-25_mrc2,2,8.0,-0.07698099526768015,0.0009942477416926714,0.0008922827186289916,-7.250795274954755e-05,0.9473357664516454,0.0003630150410041868,0.0002867360295429362,18158,0.01570081252269563,0.013637364555272643,0.5398171604802291,0.5420751184051107,0.9123282469009789,0.05142563875839597,0.9988983939686792,0.030983636391216825,2.6436081846604687,2.6436081846604687,2.6115189847112372e-05,0.9998648674506042
Po10_M_14-25_mrc5,5,8.0,-0.04771295320230908,0.0017458868803792262,0.0010445606341738757,-6.443453510335748e-05,0.7734972547479242,0.0003268353194768926,0.00020559914537951945,7592,0.016356258677210623,0.012476205591792588,0.4944678609062171,0.5038198103266597,0.8451469042546158,0.033077730932059145,0.9982492961294575,0.01421932084211347,2.6436081846604687,2.87859557885251,8.786767892452916e-05,0.9979610616821719
Po10_B_14-25_mrc2,2,8.0,-0.07131151740796043,0.0008338728157922524,0.0008396687620873605,-5.9671360335116256e-05,1.003469299908463,0.000350019295938031,0.0002847567042673174,27418,0.01547087987562091,0.013681507566613672,0.5420161937413378,0.5489459479174265,0.9208069884332152,0.04608482769530621,0.9968749808855241,0.03133827183729845,2.761101881756489,2.6436081846604687,4.116018472421503e-05,0.9999984829062218
Po10_B_14-25_mrc5,5,8.0,-0.04819793723000493,0.0015641941415334227,0.0009916357791201664,-6.0028154290090105e-05,0.7962157544601045,0.0003121543800753768,0.00020066998126147377,11248,0.01599122710641697,0.012356913782835448,0.49448790896159317,0.5046230440967283,0.8534143008825131,0.03198041405424523,0.9984813920148151,0.013683590536587499,2.6436081846604687,2.87859557885251,7.349067425824652e-05,0.9981289109462999
ALL_W_14-25_mrc2,2,8.0,-0.028539235487684327,0.0005021853709422051,0.0005658136790555595,-1.5212907505233663e-05,1.0614625904180557,0.0002953548208388281,0.0002632459567363211,51074,0.014339348405573188,0.013378532642890028,0.5023103731840075,0.5299173747895211,0.9645235073961953,0.037392059495545284,0.9912650760055907,0.023357789453961553,2.5219733162733586,2.3460216895566126,4.871384268754315e-05,0.9999973537670372
ALL_W_14-25_mrc5,5,8.0,-0.018929481307751767,0.0012183384629139496,0.0009400310099193276,-2.0258024258300573e-05,0.8783894533853015,0.00024772699520403483,0.0002037708841839914,20267,0.013909883238311072,0.012390203664625527,0.49632407361721026,0.5073271821187152,0.9399839988791883,0.0254254270925737,0.9989129056532591,0.011669272692850733,2.4046722317955282,2.4633227740344434,8.340744130504304e-06,0.9999909020415579
ALL_M_14-25_mrc2,2,8.0,-0.013342534247521822,0.0007712012016419076,0.0006180608401161609,-9.21166832013172e-06,0.8952240999723184,0.00033157753248926264,0.00028149155255945054,121022,0.015096838117601478,0.013664639374506559,0.5003057295367784,0.5262018475979574,0.9550873637000445,0.04078194653096141,0.9959825847536219,0.020218683750958397,2.761101881756489,2.5261144875644477,6.786481367622964e-05,0.9999947235929995
ALL_M_14-25_mrc5,5,8.0,-0.021493173177646617,0.0011748328331846322,0.0010257680068319177,-2.3594707538593254e-05,0.9344079765179714,0.0002900919446725121,0.00022014014979188952,45876,0.01503930466778045,0.012758741092815554,0.49904089284157294,0.5053622809312058,0.9114652917135232,0.03280846432152751,0.9995696891191509,0.010007122170558803,2.4673676390164374,2.5261144875644477,5.840778802925146e-05,0.9978193308801656
ALL_B_14-25_mrc2,2,8.0,-0.017269813597419754,0.0006648590003816134,0.0006035974134579338,-1.0940230196934624e-05,0.9528157093724482,0.00032058397250736597,0.0002766482869179444,172127,0.014871301142482614,0.013598181086338883,0.5011009312891063,0.5279706263398537,0.9583290120911026,0.05765594557215914,0.9948372756353672,0.02119236307940528,2.702355033208479,2.4673676390164374,2.4679812169107248e-05,0.9999954916871358
ALL_B_14-25_mrc5,5,8.0,-0.02022667917946526,0.0012298684990944934,0.0010008589826442807,-2.244095709528903e-05,0.902105034726747,0.00027652844430516016,0.00021544466196169473,66271,0.014683275939353235,0.01265644227255723,0.4980157233178917,0.505485053794269,0.920731923123839,0.033628643751279025,0.9994082701301708,0.010900418853877186,2.4086207904684267,2.5261144875644477,4.418310682548427e-05,0.998578803005328
WA_M_14-25_mrc2,2,8.0,-0.12036835157302836,0.000162454493813303,0.00035842451505133983,-2.904681340850584e-05,1.485364323457346,0.00012577943851829697,0.00011714993956959658,3129,0.009493802150788211,0.009113646383432558,0.5206136145733461,0.5477788430808566,0.9343773474597121,0.04178450526293412,0.9982877851026791,0.021406760056690413,2.6979249429901047,2.4633227740344434,0.0009371642304432113,0.9889820357052176
WA_M_14-25_mrc5,5,8.0,-0.06209330572118678,0.00041754140731325404,0.0004892941023822925,-2.8069433089365564e-05,1.082518221168815,0.00014221216178078683,9.97483125181494e-05,1124,0.010873883693716058,0.008864748584039323,0.45195729537366547,0.4599644128113879,0.8712181993129068,0.01659859789387424,0.9998463542047991,0.011967420104363732,2.69349485277173,2.75204908870155,0.0005270146967826196,0.9017655500265086
WA_W_14-25_mrc2,2,8.0,-0.07277915592398249,0.0003305069898819375,0.0005038086212453789,-2.970052986259054e-05,1.234646055000238,0.00017560363957430712,0.00015649106045804287,1993,0.0114073418029266,0.010672114777547835,0.4872052182639237,0.5223281485198193,0.9218337931676922,0.02820874896114011,0.9991012280028929,0.019772130721694238,2.6979249429901047,2.6392744007511895,0.0008708612492469965,0.31491119980069904
WA_W_14-25_mrc5,5,8.0,0.0028588519876695615,0.0006298901775752729,0.0007461616169979994,1.9603713398685796e-06,1.0883887257442417,0.00020184661421623798,0.00014506604859849682,646,0.012998121252027896,0.010737984468118284,0.47678018575851394,0.4674922600619195,0.8963111743938919,0.022292124573930226,0.9980043007003571,0.004018395530719126,2.75204908870155,3.161928740210292,0.00017710682398284854,0.9135081825887935
