excl_country,n_excluded_runners,n_dropped_races,n_common,n_home,dv_mean,dv_slope,med_abs_dv_s,med_abs_resid_s,share_affine,share_quad,share_resid,c2,R_kill,gauge_real_med_s,gauge_real_max_s,delta_plaus,gauge_plaus_med_s,gauge_plaus_max_s,eps_f,gauge_consistency,d_aging_max_s,d_aging_ident_max_s,max_abs_dgamma,boot_raw_med_s,boot_resid_med_s,ratio_med,ratio_p90,frac_gt2,spearman_raw,spearman_era,home_raw_s,home_resid_s,away_resid_s,sd_boot_home_s,z_home,gauge_home_plaus_s,gauge_home_real_s,verdict
USA,99411,0,347,33,-0.0,-0.0016,48.570571,6.146984,0.878969,0.002556,0.118474,3e-05,0.011377,2.781846,8.990625,0.002651,244.509317,790.227772,4.2e-05,-1.390459,122.317016,5.847047,0.000349,18.143853,18.023194,0.349766,2.077076,0.10951,0.938386,0.993583,62.202102,39.623958,-4.164301,3.445348,11.500713,38.555642,22.578144,SIGNAL
GBR,34252,0,347,83,-0.0,-0.001666,50.325125,10.476441,0.860629,0.000335,0.139036,-1.1e-05,0.004163,1.01789,3.28971,0.002651,244.509317,790.227772,-7e-05,-6.326784,169.56939,5.870108,5.9e-05,18.143853,18.023194,0.571168,1.542864,0.051873,0.929195,0.987784,-10.722725,-13.114699,4.123182,4.209155,-3.115756,5.597867,2.391973,SIGNAL
GER,32865,0,347,46,0.0,-0.001663,51.63182,2.648167,0.955706,0.000234,0.04406,-9e-06,0.003302,0.807489,2.609717,0.002651,244.509317,790.227772,3e-05,3.471733,167.592354,1.447107,8.8e-05,18.143853,18.023194,0.134173,0.90777,0.034582,0.937924,0.996967,-4.388349,-1.967145,0.300627,3.624636,-0.542715,35.596325,-2.421204,NOISE
NED,24022,0,347,24,-0.0,-0.001609,51.093937,2.864496,0.944578,0.001875,0.053547,2.5e-05,0.009399,2.298184,7.427483,0.002651,244.509317,790.227772,-1.4e-05,0.546228,187.340232,2.796346,1.5e-05,18.143853,18.023194,0.152927,0.601095,0.0317,0.935871,0.995972,-7.050222,0.731367,-0.054343,6.295419,0.116174,82.739749,-7.781589,NOISE
ESP,22331,0,347,36,0.0,-0.001644,50.257819,1.599606,0.982349,2.2e-05,0.017629,3e-06,0.001003,0.245185,0.792412,0.002651,244.509317,790.227772,0.0,-0.135272,173.502438,0.399193,1.1e-05,18.143853,18.023194,0.074731,0.430592,0.017291,0.940318,0.998285,-28.54081,-5.822075,0.673938,6.818837,-0.853822,70.522777,-22.718735,NOISE
ITA,20278,0,347,14,-0.0,-0.001652,50.743234,2.046353,0.976279,1.8e-05,0.023703,-2e-06,0.000894,0.218584,0.706441,0.002651,244.509317,790.227772,3e-06,1.363523,161.448373,1.63663,0.000116,18.143853,18.023194,0.097193,0.429461,0.020173,0.940241,0.998335,-51.7005,-3.360146,0.141267,8.066353,-0.416563,61.376207,-48.340354,NOISE
SWE,16269,0,347,11,-0.0,-0.001608,50.10984,4.361652,0.915819,0.001822,0.082359,2.5e-05,0.009411,2.301013,7.436628,0.002651,244.509317,790.227772,-1.6e-05,0.649544,226.450591,8.401195,0.003386,18.143853,18.023194,0.238643,0.914009,0.023055,0.935686,0.994461,37.494585,11.328785,-0.370883,10.195025,1.111207,45.17639,26.1658,NOISE
AUS,13103,7,340,9,0.000291,-0.001672,48.090529,1.940507,0.933948,0.000633,0.065419,-1.5e-05,0.005509,1.372502,4.325956,0.002651,249.135068,785.2426,-0.0,-0.002653,176.576789,1.302098,1.7e-05,17.726522,17.7535,0.108507,0.392168,0.014706,0.936357,0.996686,-64.901802,-69.68314,1.894708,22.105047,-3.152363,237.495897,4.781338,SIGNAL*
FRA,9915,0,347,11,-0.0,-0.001658,50.626795,1.694958,0.988006,0.000121,0.011873,-6e-06,0.002336,0.571211,1.846091,0.002651,244.509317,790.227772,3e-06,0.565003,178.867114,0.187189,1.8e-05,18.143853,18.023194,0.088784,0.432775,0.002882,0.940667,0.998743,15.109044,-12.911229,0.422689,9.660905,-1.336441,52.225524,28.020273,NOISE
DEN,8254,0,347,10,-0.0,-0.001649,51.461454,0.663469,0.994774,1e-06,0.005225,-1e-06,0.000214,0.052261,0.168903,0.002651,244.509317,790.227772,3e-06,4.996506,177.8852,0.135644,7e-06,18.143853,18.023194,0.034255,0.225055,0.008646,0.941181,0.999605,25.953937,-3.897524,0.115654,7.978405,-0.488509,79.092272,29.851461,NOISE
CAN,4501,0,347,0,0.0,-0.00165,51.675968,0.51602,0.998845,2e-06,0.001153,-1e-06,0.0003,0.073448,0.237376,0.002651,244.509317,790.227772,4e-06,4.995575,175.794649,0.550429,1.3e-05,18.143853,18.023194,0.025506,0.186347,0.0,0.941611,0.999912,,,-0.0,,,,,NO-HOME
BEL,4222,0,347,0,-0.0,-0.001645,51.043624,0.942287,0.996582,1.4e-05,0.003404,2e-06,0.000792,0.193558,0.625559,0.002651,244.509317,790.227772,-2e-06,0.739317,178.345334,0.104117,8e-06,18.143853,18.023194,0.049552,0.205109,0.0,0.941587,0.999604,,,-0.0,,,,,NO-HOME
MEX,3907,0,347,0,-0.0,-0.00165,51.895175,0.412144,0.999588,2e-06,0.00041,-1e-06,0.000304,0.074369,0.240354,0.002651,244.509317,790.227772,-4e-06,-5.134963,178.159006,0.386747,2.6e-05,18.143853,18.023194,0.022755,0.134161,0.0,0.94147,0.999931,,,-0.0,,,,,NO-HOME
SUI,3371,0,347,5,0.0,-0.001647,51.66916,0.555461,0.989864,2e-06,0.010134,1e-06,0.000314,0.076681,0.247825,0.002651,244.509317,790.227772,1e-06,-1.692723,176.757611,0.124494,5e-06,18.143853,18.023194,0.035212,0.154863,0.005764,0.940225,0.999028,-29.234816,-1.658007,0.02424,14.284752,-0.116068,63.184939,-27.57681,NOISE
NOR,3368,0,347,8,-0.0,-0.001641,51.20468,1.750113,0.971896,5.9e-05,0.028045,4e-06,0.001648,0.402865,1.302015,0.002651,244.509317,790.227772,0.0,-0.101685,181.26521,0.139773,1.9e-05,18.143853,18.023194,0.077943,0.296396,0.011527,0.939795,0.997911,-53.001956,-55.369393,1.306652,16.324932,-3.391707,34.828755,2.367437,SIGNAL
CZE,2722,1,346,9,-8.6e-05,-0.001614,51.132658,0.41096,0.978366,2e-06,0.021632,1e-06,0.00032,0.077039,0.256409,0.002651,241.012686,802.158749,2e-06,-2.939567,175.476643,0.128944,9e-06,17.944277,17.977642,0.021453,0.087519,0.00578,0.94251,0.998841,6.67278,-12.238057,0.326832,16.912728,-0.7236,11.480044,18.910837,NOISE
BRA,2601,0,347,0,-0.0,-0.00165,51.821265,0.799789,0.998973,2e-06,0.001025,-1e-06,0.000282,0.069074,0.223238,0.002651,244.509317,790.227772,-1e-06,-1.773708,179.750529,0.143455,1.6e-05,18.143853,18.023194,0.03735,0.184333,0.0,0.941308,0.999902,,,-0.0,,,,,NO-HOME
POL,2443,0,347,0,0.0,-0.001653,51.755545,0.578561,0.999311,2.1e-05,0.000667,-3e-06,0.000972,0.237752,0.768389,0.002651,244.509317,790.227772,2e-06,0.599625,178.022873,0.154052,4e-06,18.143853,18.023194,0.036862,0.165059,0.0,0.941405,0.999886,,,-0.0,,,,,NO-HOME
IRL,2399,0,347,10,-0.0,-0.001661,51.879676,1.310996,0.98782,0.00019,0.01199,-8e-06,0.002922,0.714536,2.309304,0.002651,244.509317,790.227772,-3e-06,-0.425523,179.495187,0.531889,1.1e-05,18.143853,18.023194,0.075856,0.310462,0.0,0.94069,0.998994,7.137387,-14.513578,0.43067,14.976574,-0.969085,64.819092,21.650964,NOISE
JPN,2145,0,347,9,-0.0,-0.001643,51.532089,0.385468,0.996557,3.9e-05,0.003404,3e-06,0.001318,0.322358,1.041827,0.002651,244.509317,790.227772,1e-06,-0.331254,175.146457,0.349809,3e-06,18.143853,18.023194,0.025525,0.11679,0.0,0.941102,0.99969,33.088489,9.962457,-0.265273,6.149581,1.620022,13.600406,23.126032,NOISE
